文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI,公開番号,公告番号,登録番号,審判番号,その他,ステージ,イベント詳細,文献URL
特開2025-116688,特願2024-011253,2024/01/29,2025/08/08,情報処理装置、情報処理方法、及び情報処理プログラム,トヨタ自動車株式会社,"B60W50/12,B60W50/14,B60K35/28",特開2025-116688,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-116688/11/ja
特開2025-116665,特願2024-011210,2024/01/29,2025/08/08,車両用表示制御方法及び車両用表示制御装置,日産自動車株式会社,G08G1/0969,特開2025-116665,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-116665/11/ja
特開2025-116487,特願2024-010936,2024/01/29,2025/08/08,車両の手動運転支援装置,株式会社ＳＵＢＡＲＵ,"G08G1/16@C,G06T1/00,330@A,B60R99/00,351,B60R99/00,322",特開2025-116487,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-116487/11/ja
特開2025-116144,特願2025-090027,2025/05/29,2025/08/07,制御装置、ステアリングホイール、車両、制御方法、及び制御プログラム,トヨタ自動車株式会社,"B62D1/04,B60W50/14",特開2025-116144,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-116144/11/ja
特開2025-115833,特願2024-010513,2024/01/26,2025/08/07,無線路側機、通信方法、通信システム、プログラム、及び車載通信機,京セラ株式会社,"G08G1/09@F,G08G1/16@D",特開2025-115833,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-115833/11/ja
特開2025-115750,特願2024-010370,2024/01/26,2025/08/07,車両管理方法及び車両管理装置,日産自動車株式会社,"B60W50/02,B60W50/08,B60W60/00",特開2025-115750,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-115750/11/ja
特開2025-114770,特願2025-079668,2025/05/12,2025/08/05,施設内におけるシステムおよび電動モビリティ,ＷＨＩＬＬ株式会社,"A61G5/04,707,G06Q50/10",特開2025-114770,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-114770/11/ja
特開2025-113922,特願2024-008328,2024/01/23,2025/08/04,四輪駆動車両の前後輪駆動力配分制御装置,トヨタ自動車株式会社,"B60L15/20@S,B60W60/00,B60W30/18",特開2025-113922,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-113922/11/ja
特開2025-112631,特願2024-006974,2024/01/19,2025/08/01,プラント運転管理システム、プラント運転管理方法、及びプラント運転管理プログラム,"株式会社東芝,東芝エネルギーシステムズ株式会社","G06Q50/06,G05B23/02,301@Q",特開2025-112631,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-112631/11/ja
特開2025-112307,特願2025-007865,2025/01/20,2025/07/31,車両警告システム及び警告方法,大▲衆▼酷翼（北京）科技有限公司,"G08G1/16@C,G08G1/00@A",特開2025-112307,,,,,審査中,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-112307/11/ja
